Product Name,Quantity,Avg. SP,Curr. SP,Retail Value,Ratio,Department
AIRTRICITY PREPAY 10. 1,28.00,10.00,10.00,280.00,0.07 %,Bill Pay
AIRTRICITY PREPAY 100. 1,1.00,100.00,100.00,100.00,0.02 %,Bill Pay
AIRTRICITY PREPAY 20. 1,20.00,20.00,20.00,400.00,0.09 %,Bill Pay
AIRTRICITY PREPAY 30. 1,2.00,30.00,30.00,60.00,0.01 %,Bill Pay
AIRTRICITY PREPAY 50. 1,1.00,50.00,50.00,50.00,0.01 %,Bill Pay
BORD GAIS ELECTRIC 10. 1,22.00,10.00,10.00,220.00,0.05 %,Bill Pay
BORD GAIS ELECTRIC 15. 1,3.00,15.00,15.00,45.00,0.01 %,Bill Pay
BORD GAIS ELECTRIC 20. 1,24.00,20.00,20.00,480.00,0.11 %,Bill Pay
BORD GAIS ELECTRIC 25. 1,7.00,25.00,25.00,175.00,0.04 %,Bill Pay
BORD GAIS ELECTRIC 30. 1,4.00,30.00,30.00,120.00,0.03 %,Bill Pay
BORD GAIS ELECTRIC 40. 1,2.00,40.00,40.00,80.00,0.02 %,Bill Pay
BORD GAIS ELECTRIC 50. 1,1.00,50.00,50.00,50.00,0.01 %,Bill Pay
ELECTRIC IRELAND 10. 1,47.00,10.00,10.00,470.00,0.11 %,Bill Pay
ELECTRIC IRELAND 100. 1,1.00,100.00,100.00,100.00,0.02 %,Bill Pay
ELECTRIC IRELAND 15. 1,9.00,15.00,15.00,135.00,0.03 %,Bill Pay
ELECTRIC IRELAND 20. 1,40.00,20.00,20.00,800.00,0.19 %,Bill Pay
ELECTRIC IRELAND 25. 1,7.00,25.00,25.00,175.00,0.04 %,Bill Pay
ELECTRIC IRELAND 30. 1,14.00,30.00,30.00,420.00,0.10 %,Bill Pay
ELECTRIC IRELAND 40. 1,5.00,40.00,40.00,200.00,0.05 %,Bill Pay
ELECTRIC IRELAND 45. 1,1.00,45.00,45.00,45.00,0.01 %,Bill Pay
ELECTRIC IRELAND 500. 1,3.00,50.00,50.00,150.00,0.04 %,Bill Pay
ELECTRIC IRELAND 80. 1,1.00,80.00,80.00,80.00,0.02 %,Bill Pay
PAYSAFE CARD 10. 1,5.00,10.00,10.00,50.00,0.01 %,Bill Pay
PAYSAFE CARD 25. 1,14.00,25.00,25.00,350.00,0.08 %,Bill Pay
PAYSAFE CARD 50. 1,3.00,50.00,50.00,150.00,0.04 %,Bill Pay
PINENERGY PREPAID 10. 1,15.00,10.00,10.00,150.00,0.04 %,Bill Pay
PINENERGY PREPAID 15. 1,4.00,15.00,15.00,60.00,0.01 %,Bill Pay
PINENERGY PREPAID 20. 1,10.00,20.00,20.00,200.00,0.05 %,Bill Pay
PREPAY POWER .15. 1,13.00,15.00,15.00,195.00,0.05 %,Bill Pay
PREPAY POWER 10. 1,51.00,10.00,10.00,510.00,0.12 %,Bill Pay
PREPAY POWER 100. 1,1.00,100.00,100.00,100.00,0.02 %,Bill Pay
PPPOWER201PREPAY POWER 20. 1,55.00,20.00,20.00,1100.00,0.26%,Bill Pay
PPPOWER201PREPAY POWER 25. 1,8.00,25.00,25.00,200.00,0.05%,Bill Pay
PPPOWER201PREPAY POWER 30. 1,15.00,30.00,30.00,450.00,0.11%,Bill Pay
PPPOWER201PREPAY POWER 40. 1,3.00,40.00,40.00,120.00,0.03%,Bill Pay
PPPOWER201PREPAY POWER 50. 1,5.00,50.00,50.00,250.00,0.06%,Bill Pay
PPPOWER201PREPAY POWER. 1,1.00,5.00,5.00,5.00,0.00%,Bill Pay
LEAP 1 DAY FAM RAMB DUB. 1,3.00,14.70,14.70,44.10,0.01%,Bus Tickets
LEAP5. 1,88.00,5.00,5.00,440.00,0.10%,Bus Tickets
LEAPC10. 1,92.00,10.00,10.00,920.00,0.22%,Bus Tickets
LEAPC15. 1,3.00,15.00,15.00,45.00,0.01%,Bus Tickets
LEAPC20. 1,43.00,20.00,20.00,860.00,0.20%,Bus Tickets
LEAPC30. 1,6.00,30.00,30.00,180.00,0.04%,Bus Tickets
LEAPC40. 1,2.00,40.00,40.00,80.00,0.02%,Bus Tickets
R/Z(401-410)CHILD MONTH. 1,1.00,33.00,32.10,33.00,0.01%,Bus Tickets
3 TOP UP 10 UNIT. 1,12.00,10.50,10.50,126.00,0.03%,Call Cards
3 TOP UP 20 UNIT 1,72.00,20.00,20.00,1440.00,0.34%,Call Cards
3 TOP UP 25 UNIT. 1,1.00,25.00,25.00,25.00,0.01%,Call Cards
3 TOP UP 30 UNIT 1,1.00,30.00,30.00,30.00,0.01%,Call Cards
3 TOP UP 40 UNIT. 1,2.00,40.00,40.00,80.00,0.02%,Call Cards
3 TOP UP 5 UNIT. 1,14.00,5.50,5.50,77.00,0.02%,Call Cards
48 PHONE 20 UNIT. 1,1.00,20.00,20.00,20.00,0.00%,Call Cards
48 PHONE 5 UNIT. 1,2.00,5.50,5.50,11.00,0.00%,Call Cards
EMOBILE 10 UNIT TOPUP. 1,41.00,10.50,10.50,430.50,0.10%,Call Cards
EMOBILE 15 UNIT TOPUP. 1,2.00,15.00,15.00,30.00,0.01%,Call Cards
EMOBILE 20 UNIT TOPUP. 1,68.00,20.00,20.00,1360.00,0.32%,Call Cards
EMOBILE 30 UNIT TOPUP. 1,12.00,30.00,30.00,360.00,0.08%,Call Cards
EMOBILE 5 UNIT TOPUP. 1,37.00,5.50,5.50,203.50,0.05%,Call Cards
GLOBAL CALLER 5 EURO. 1,1.00,5.00,5.00,5.00,0.00%,Call Cards
LYCA MOBILE 10.00 UNIT. 1,5.00,10.50,10.50,52.50,0.01%,Call Cards
LYCA MOBILE 20.00 UNIT. 1,9.00,20.00,20.00,180.00,0.04%,Call Cards
LYCA MOBILE 5.00 UNIT. 1,12.00,5.50,5.50,66.00,0.02%,Call Cards
VODAFONE 10 UNIT. 1,19.00,10.50,10.50,199.50,0.05%,Call Cards
VODAFONE 20 UNIT 1,58.00,20.00,20.00,1160.00,0.27%,Call Cards
VODAFONE 25 UNIT. 1,1.00,25.00,25.00,25.00,0.01%,Call Cards
VODAFONE 30 UNIT. 1,3.00,30.00,30.00,90.00,0.02%,Call Cards
VODAFONE 40 UNIT. 1,1.00,40.00,40.00,40.00,0.01%,Call Cards
VODAFONE 5 UNIT 1,7.00,5.50,5.50,38.50,0.01%,Call Cards
AGIO CLAIR TIP 5PK 5PK,34.00,4.20,4.90,142.80,0.03%,Ciggerates
AGIO FILT TIP CIGARS 5PK 5PK,27.00,4.20,4.90,113.40,0.03%,Ciggerates
AMBER LEAF  ORGINAL 20'S 20PK,34.00,10.30,11.00,350.20,0.08%,Ciggerates
AMBER LEAF  ORGINAL 30G. 30G,141.00,16.50,18.20,2326.50,0.55%,Ciggerates
AMBER LEAF 30G POUCH 30G,131.00,16.00,17.70,2096.00,0.49%,Ciggerates
AMBER LEAF BLOND 30G POUC 30G,12.00,16.00,17.70,192.00,0.05%,Ciggerates
AMBER LEAF BLONDE 30G CP 30G,21.00,16.50,18.20,346.50,0.08%,Ciggerates
B & H GOLD  29'S 29'S,126.00,16.50,17.50,2079.00,0.49%,Ciggerates
B & H GOLD KS BIG BOX 23S 23PK,16.00,13.30,14.20,212.80,0.05%,Ciggerates
B & H GOLD KS BIG BOX 24S 24PK,1.00,11.50,11.50,11.50,0.00%,Ciggerates
B & H GOLD MAXI 30PK 8,2.00,15.75,15.75,31.50,0.01%,Ciggerates
B & H SILVER KING SIZE 20PK,23.00,11.00,12.00,253.00,0.06%,Ciggerates
BENSON & HEDGES 20PK 20PK,293.00,12.00,13.00,3516.00,0.83%,Ciggerates
BENSON & HEDGES SPECIAL V 25G,3.00,11.80,13.10,35.40,0.01%,Ciggerates
CAFE CRÈME 10PK 10PK,29.00,6.25,6.60,181.25,0.04%,Ciggerates
CAFE CREME BLUE10PK 10PK,14.00,6.25,6.60,87.50,0.02%,Ciggerates
CAFE CREME FILT 10PK 10PK,1.00,6.55,6.90,6.55,0.00%,Ciggerates
CAMEL BLUE 20 PK 20PK,56.00,11.00,12.00,616.00,0.15%,Ciggerates
CAMEL FILTER 20 PK 20PK,38.00,11.00,12.00,418.00,0.10%,Ciggerates
CARA MATCHES 1,62.00,0.30,0.30,18.60,0.00%,Ciggerates
CARROLLS GOLD 20S 20PK,3.00,10.30,11.60,30.90,0.01%,Ciggerates
CARROLLS NUMBER ONE 20PK. 20PK,48.00,11.74,12.70,563.75,0.13%,Ciggerates
CARROLLS NUMBER ONE 23PK. 23PK,28.00,12.80,13.60,358.40,0.08%,Ciggerates
CASTELLA CLASSIC CIGARS 5 5PK,19.00,5.10,5.20,96.90,0.02%,Ciggerates
CLIPPER CLASSIC LIGHTER 1,51.00,1.60,1.60,81.60,0.02%,Ciggerates
CONDOR ORIG RUBBED 25G PO 25G,3.00,12.00,13.30,36.00,0.01%,Ciggerates
CONDOR PLUG TOB 25G 25G,1.00,12.00,13.10,12.00,0.00%,Ciggerates
CONSULATE 20 PK 20PK,21.00,12.20,12.90,256.20,0.06%,Ciggerates
CUTT CHOICE RYO 30 G 30G,7.00,15.00,16.00,105.00,0.02%,Ciggerates
DRUM BRIGHT BLUE TOBACCO 30G,11.00,15.75,17.50,173.25,0.04%,Ciggerates
DRUM THE ORIGINAL TOBACCO 30G,15.00,15.75,17.50,236.25,0.06%,Ciggerates
DUNHILL INTER 20 PK 20PK,19.00,12.20,12.90,231.80,0.05%,Ciggerates
GDN VIRG COMBI POUCH 30 30G,5.00,16.00,16.75,80.00,0.02%,Ciggerates
GV BRIGHT YELLOW COMBI 30 30G,3.00,15.00,16.50,45.00,0.01%,Ciggerates
GV BRIGHT YELLOW TOBACCO 30G,1.00,14.50,14.50,14.50,0.00%,Ciggerates
GV THE ORIGINAL TOBACCO 30G,22.00,15.50,17.20,341.00,0.08%,Ciggerates
H WINTER 1/2 COR 5PK 5PK,25.00,11.40,12.05,285.00,0.07%,Ciggerates
HAMLET 10PK 10PK,11.00,11.90,13.10,130.90,0.03%,Ciggerates
HAMLET 5PK 5PK,4.00,6.00,6.60,24.00,0.01%,Ciggerates
HAMLET MINIATURES 10PK 10PK,15.00,6.40,7.00,96.00,0.02%,Ciggerates
HAMLET MINIATURES BLUE 10PK,2.00,6.40,7.00,12.80,0.00%,Ciggerates
JOHN PLAYER BLUE 20PK 20PK,613.00,11.50,12.50,7049.50,1.66%,Ciggerates
JOHN PLAYER BLUE 25 BIG B 25PK,43.00,13.50,13.50,580.50,0.14%,Ciggerates
JOHN PLAYER BLUE 28'S BIG 28PK,288.00,14.50,14.50,4176.00,0.98%,Ciggerates
JOHN PLAYER BLUE COMPACT 20PK,29.00,10.80,11.80,313.20,0.07%,Ciggerates
JOHN PLAYER BLUE100'S 20PK,17.00,11.50,12.50,195.50,0.05%,Ciggerates
JOHN PLAYER BRIGHT BLUE20 20PK,4.00,11.50,12.50,46.00,0.01%,Ciggerates
JPB TOBACCO 30G,24.00,15.75,17.50,378.00,0.09%,Ciggerates
JPS BLUE 100S 20PK 20PK,24.00,10.00,11.10,240.00,0.06%,Ciggerates
JPS BLUE 23'S 23PK,32.00,11.00,12.00,352.00,0.08%,Ciggerates
JPS BLUE 30G VOLUME TOBAC 30G,24.00,14.50,16.20,348.00,0.08%,Ciggerates
JPS BLUE 38G VOLUME TOBAC 38G,4.00,17.00,17.70,68.00,0.02%,Ciggerates
JPS BLUE BIG BOX 29S 29PK,274.00,13.00,15.00,3562.00,0.84%,Ciggerates
JPS BLUE KS 20PK 20PK,75.00,10.00,11.10,750.00,0.18%,Ciggerates
JPS CRUSHBALL CIG 1,56.00,9.80,11.00,548.80,0.13%,Ciggerates
JPS GREEN MENTHOL 100 20PK,11.00,10.00,11.10,110.00,0.03%,Ciggerates
JPS RED 100'S 20PK,12.00,10.00,11.10,120.00,0.03%,Ciggerates
JPS RED 23'S 23PK,9.00,11.00,12.00,99.00,0.02%,Ciggerates
JPS RED KS 20PK,26.00,10.00,11.10,260.00,0.06%,Ciggerates
JPS SILVER 100'S 20PK,3.00,10.00,11.10,30.00,0.01%,Ciggerates
JPS SILVER 30G VOLUME TOB 30G,21.00,14.50,16.20,304.50,0.07%,Ciggerates
JPS SILVER 38G VOLUME TOB 38G,2.00,17.00,17.70,34.00,0.01%,Ciggerates
L&M BLUE LABEL KS 20PK,75.00,10.00,10.80,750.00,0.18%,Ciggerates
LAMBERT&BUT KING 20PK,3.00,11.50,12.50,34.50,0.01%,Ciggerates
M&P FIRESIDE MATCHES 1,6.00,1.50,1.20,9.00,0.00%,Ciggerates
MAJOR 25PK. 25PK,50.00,15.00,15.95,750.00,0.18%,Ciggerates
MARLBORO GOLD 20PK 20PK,471.00,12.00,12.70,5652.00,1.33%,Ciggerates
MARLBORO GOLD BIG BOX 28S 28PK,6.00,15.00,16.00,90.00,0.02%,Ciggerates
MARLBORO GOLD KS 29PK 29PK,48.00,15.00,15.00,720.00,0.17%,Ciggerates
MARLBORO GOLD TOUCH 20PK 20PK,107.00,10.30,11.00,1102.10,0.26%,Ciggerates
MARLBORO GOLD100S 20PK 20PK,14.00,12.00,12.70,168.00,0.04%,Ciggerates
MARLBORO ICE BLAST 20PK,59.00,12.00,12.70,708.00,0.17%,Ciggerates
MARLBORO MENTHOL 20S 20PK,18.00,12.00,12.70,216.00,0.05%,Ciggerates
MARLBORO RED 20PK 20PK,34.00,12.00,12.70,408.00,0.10%,Ciggerates
MAYFAIR BIG BOX ORIG 25'S 25'S,18.00,12.25,13.30,220.50,0.05%,Ciggerates
MAYFAIR KINGSIZE GREEN 20PK,38.00,10.30,11.30,391.40,0.09%,Ciggerates
MAYFAIR KINGSIZE ORIGINAL 20PK,145.00,10.30,11.30,1493.50,0.35%,Ciggerates
MAYFAIR KINGSIZE SKY BLUE 20PK,65.00,10.30,11.30,669.50,0.16%,Ciggerates
MAYFAIR ORIGINAL 30S 30S,31.00,14.75,15.25,457.25,0.11%,Ciggerates
MAYFAIR S KING ORIGINAL30 30S,24.00,14.75,15.50,354.00,0.08%,Ciggerates
MAYFAIR S KINGS GREEN 20PK,62.00,10.30,11.30,638.60,0.15%,Ciggerates
MAYFAIR S KINGS ORGINAL 20PK,116.00,10.30,11.30,1194.80,0.28%,Ciggerates
MAYFAIR S KINGS SKY BLUE 20PK,58.00,10.30,11.30,597.40,0.14%,Ciggerates
OCB VIRGIN SLIM PAPER & T 1,21.00,2.00,2.20,42.00,0.01%,Ciggerates
OLD HOLB ORIGIN 30G POUCH 30G,5.00,17.00,18.70,85.00,0.02%,Ciggerates
PALL MALL DOUBLE CAPSULE. 20PK,50.00,10.00,10.80,500.00,0.12%,Ciggerates
PALL MALL KS BIG PACKS 24 24PK,53.00,12.00,12.00,636.00,0.15%,Ciggerates
PALL MALL KS BLUE CAPSULE 20PK,39.00,10.30,11.00,401.70,0.09%,Ciggerates
PALL MALL KS RED CAPSULES 20PK,2.00,10.30,11.00,20.60,0.00%,Ciggerates
PALL MALL RED KS 20PK,70.00,10.30,10.30,721.00,0.17%,Ciggerates
PALL MALL S BLUE 100'S 20PK,6.00,10.30,10.30,61.80,0.01%,Ciggerates
PALL MALL SK BLUE CAPSULE 20PK,1.00,10.30,11.00,10.30,0.00%,Ciggerates
PALL MALL SK RED CAPSULE 20PK,24.00,10.30,11.00,247.20,0.06%,Ciggerates
RITMEESTER CIGARS 12,7.00,8.20,8.50,57.40,0.01%,Ciggerates
RITMEESTER HALF CORONA 5P 5PK,3.00,11.50,12.00,34.50,0.01%,Ciggerates
RITMEESTER MINI MOODS 10PK,5.00,5.20,5.40,26.00,0.01%,Ciggerates
RITMEESTER PIKEUR 5PK 5PK,20.00,8.30,8.30,166.00,0.04%,Ciggerates
RITMEESTER TIP 5PK X 10 5PK,8.00,3.50,4.30,28.00,0.01%,Ciggerates
ROTHMANS K/SIZE ORIGINAL. 20PK,97.00,12.20,12.90,1183.40,0.28%,Ciggerates
SAMSON 30G 30G,4.00,16.25,16.25,65.00,0.02%,Ciggerates
SILK CUT BLUE 100S 20PK 20PK,33.00,12.00,13.00,396.00,0.09%,Ciggerates
SILK CUT BLUE BIG BX 23'S 23PK,21.00,13.30,14.20,279.30,0.07%,Ciggerates
SILK CUT BLUE KING 20PK 20PK,286.00,12.00,13.00,3432.00,0.81%,Ciggerates
SILK CUT CHOICE 20PK,76.00,12.00,13.00,912.00,0.22%,Ciggerates
SILK CUT DOUBLE CAPSULE 20PK,50.00,12.00,13.00,600.00,0.14%,Ciggerates
SILK CUT PUR 100'S 20PK 20PK,52.00,12.00,13.00,624.00,0.15%,Ciggerates
SILK CUT PURP BIG BX 23'S 23PK,47.00,13.30,14.20,625.10,0.15%,Ciggerates
SILK CUT PURPLE KING 20PK 20PK,434.00,12.00,13.00,5208.00,1.23%,Ciggerates
SILK CUT RED 20PK 20PK,5.00,12.00,13.00,60.00,0.01%,Ciggerates
SILK CUT SILVER 100S 20PK 20PK,9.00,12.00,13.00,108.00,0.03%,Ciggerates
SILK CUT SILVER KING 20PK 20PK,139.00,12.00,13.00,1668.00,0.39%,Ciggerates
SILK CUT SUPERCHOICE LINE 20PK,20.00,11.50,12.50,230.00,0.05%,Ciggerates
SUPERKINGS 20PK 20PK,44.00,11.70,12.70,514.80,0.12%,Ciggerates
SUPERKINGS BLUE 20PK 20PK,15.00,11.70,12.70,175.50,0.04%,Ciggerates
SUPERKINGS MENTHOL 20PK 20PK,21.00,11.70,12.70,245.70,0.06%,Ciggerates
VILLIGER NO 7 CGR 5PK 5PK,1.00,15.80,17.00,15.80,0.00%,Ciggerates
VOGUE BLEUE 20 PK. 20PK,49.00,11.80,12.50,578.20,0.14%,Ciggerates
VOGUE BLUE CAPSULE. 20PK,4.00,10.90,11.50,43.60,0.01%,Ciggerates
VOGUE GREEN MENTHE. 20PK,2.00,10.90,11.50,21.80,0.01%,Ciggerates
VOGUE ORIGINAL GREEN 20P 20PK,23.00,11.80,12.50,271.40,0.06%,Ciggerates
BIC LIGHTER MAXI ELEC CLR PK,6.00,2.00,2.00,12.00,0.00%,Matches
BIC LIGHTER MAXI PACK,136.00,1.65,1.78,224.40,0.05%,Matches
MATCHES EXTRA LONG 12 X 3,10.00,1.35,1.35,13.50,0.00%,Matches
UNILITE XH-188 1,131.00,1.25,1.50,163.75,0.04%,Matches
RIZLA KING SILVER SLIMS 1,117.00,1.55,1.65,181.35,0.04%,Papers/Filters
RIZLA PAPER RED 1,89.00,0.70,0.70,62.30,0.01%,Papers/Filters
RIZLA PAPER RED 32LEAVES 1,12.00,1.10,1.10,13.20,0.00%,Papers/Filters
RIZLA REGULAR PAPER BLUE 1,80.00,0.65,0.65,52.00,0.01%,Papers/Filters
RIZLA REGULAR PAPER GREEN 1,168.00,0.65,0.70,109.20,0.03%,Papers/Filters
RIZLA ULTRA SLIM FILT TIP 0.00,95.00,1.45,1.50,137.75,0.03%,Papers/Filters
RIZLA ULTRA STREAMLINETIP 1,27.00,1.45,1.50,39.15,0.01%,Papers/Filters
HALE APPLE E-LIQUID 12MG 12MG,14.00,5.00,5.00,70.00,0.02%,Vapes
HALE APPLE E-LIQUID 6MG 6MG,7.00,5.00,5.00,35.00,0.01%,Vapes
HALE BLACKFIRE E-LIQU 12M 12MG,20.00,5.00,5.00,100.00,0.02%,Vapes
HALE BLACKFIRE E-LIQUID14 18MG,3.00,5.00,5.00,15.00,0.00%,Vapes
HALE BLUEBERRY E-LIQUID 6 6MG,4.00,5.00,5.00,20.00,0.00%,Vapes
HALE BLUEBERRY E-LIQUID12 12MG,10.00,5.00,5.00,50.00,0.01%,Vapes
HALE BLUEBERRY E-LIQUID18 18MG,8.00,5.00,5.00,40.00,0.01%,Vapes
HALE CE4 CLEAROMIZER 1,6.00,5.00,5.00,30.00,0.01%,Vapes
HALE MENTHOL E-LIQU 12MG 12MG,18.00,5.00,5.00,90.00,0.02%,Vapes
HALE MENTHOL E-LIQU 18MG 18MG,19.00,5.00,5.00,95.00,0.02%,Vapes
HALE MENTHOL E-LIQU 6MG 6MG,14.00,5.00,5.00,70.00,0.02%,Vapes
HALE PLATINUM E-LIQU 12MG 12MG,9.00,5.00,5.00,45.00,0.01%,Vapes
HALE PLATINUM E-LIQU 18MG 18MG,2.00,5.00,5.00,10.00,0.00%,Vapes
HALE PLATINUM E-LIQU 6MG 6MG,6.00,5.00,5.00,30.00,0.01%,Vapes
HALE ROLL BLEND E-LIQ18 18MG,13.00,5.00,5.00,65.00,0.02%,Vapes
HALE ROLL BLEND E-LIQU 12 12MG,7.00,5.00,5.00,35.00,0.01%,Vapes
HALE ROLL BLEND E-LIQU 6 6MG,6.00,5.00,5.00,30.00,0.01%,Vapes
HALE SAPPHIRE E-LIQUID 12 12MG,17.00,5.00,5.00,85.00,0.02%,Vapes
HALE SAPPHIRE E-LIQUID 18 18MG,13.00,5.00,5.00,65.00,0.02%,Vapes
HALE SAPPHIRE E-LIQUID 6 6MG,5.00,5.00,5.00,25.00,0.01%,Vapes
HALE STARTER KIT SILVER 1,2.00,20.00,20.00,40.00,0.01%,Vapes
HALE STRWBERRY E-LIQUID 6 6MG,9.00,5.00,5.00,45.00,0.01%,Vapes
HALE STRWBERRY E-LIQUID12 12MG,9.00,5.00,5.00,45.00,0.01%,Vapes
HALE STRWBERRY E-LIQUID18 18MG,11.00,5.00,5.00,55.00,0.01%,Vapes
LOGIC LQD EMERALD WINTER 12MG,12.00,6.00,6.00,72.00,0.02%,Vapes
LOGIC LQD RED SUMMER 12MG 12MG,3.00,6.00,6.00,18.00,0.00%,Vapes
LOGIC PRO CRIM SUMMER 3X 18MG,5.00,7.00,7.00,35.00,0.01%,Vapes
LOGIC PRO EM WINTER 3X18M 18MG,7.00,7.00,7.00,49.00,0.01%,Vapes
LOGIC PRO GOLD AUT 3X18MG 18MG,3.00,7.00,7.00,21.00,0.01%,Vapes
LOGIC PRO RED SMR 3X18MG 18MG,5.00,7.00,7.00,35.00,0.01%,Vapes
LOGIC PRO VIOLET SMR 3X18 18MG,3.00,7.00,7.00,21.00,0.01%,Vapes
RY4 HALE E LIQUID 12MG 12MG,9.00,5.00,5.00,45.00,0.01%,Vapes
BLT,22.00,2.89,2.89,63.58,0.02%,Deli
BOILED EGG,35.00,0.60,0.60,21.00,0.01%,Deli
BUTTERED ROLL,171.00,0.80,0.80,136.80,0.03%,Deli
CHICKEN BREAST,162.23,0.22,0.22,35.69,0.01%,Deli
COLD MEAT ROLL,180.00,2.59,2.59,466.20,0.11%,Deli
COLESLAW,9.43,6.98,6.99,65.83,0.02%,Deli
EGG MAYO,0.61,6.97,6.99,4.25,0.00%,Deli
EXTRA SAUCE,4.00,0.20,0.20,0.80,0.00%,Deli
FRESH SANDWICH,97.00,2.29,2.29,222.13,0.05%,Deli
FRESH SANDWICH,3675.17,2.59,2.59,9522.06,2.25%,Deli
FRESH SOUP,481.00,2.25,2.25,1082.25,0.26%,Deli
GRILLED CHICKEN WRAP,30.00,3.50,3.50,105.00,0.02%,Deli
HAM & CHEESE CROISSANT,2.00,2.00,2.00,4.00,0.00%,Deli
HAOGANS FARM TURKEY,1.54,18.99,18.95,29.24,0.01%,Deli
MIXED SALAD,59.06,7.00,6.99,413.14,0.10%,Deli
PIZZA SLICE,20.72,1.69,1.69,35.00,0.01%,Deli
POTATO SALAD,0.71,6.97,6.99,4.95,0.00%,Deli
SALAD ROLL,109.48,2.49,2.50,272.51,0.06%,Deli
SALAD SAMDWICH,94.64,2.30,2.30,217.36,0.05%,Deli
TUNA SALAD,0.52,9.02,8.99,4.69,0.00%,Deli
HOMEMADE APPLE SWIRL,523.00,2.00,2.00,1046.00,0.25%,Bakery
HOMEMADE COOKIES,17.00,1.50,1.50,25.50,0.01%,Bakery
HOMEMADE CUPCAKE,2.00,1.50,1.50,3.00,0.00%,Bakery
HOMEMADE MUFFIN,440.00,1.50,1.50,660.00,0.16%,Bakery
HOMEMADE SCONES,456.00,1.00,1.00,456.00,0.11%,Bakery
HOMEMADE SODA BREAD,83.00,1.99,1.99,165.17,0.04%,Bakery
HOMEMADE SODA BREAD SCONES,204.00,1.00,1.00,204.00,0.05%,Bakery
HOMEMADE TARTLETS,12.00,1.50,1.50,18.00,0.00%,Bakery
1/2 POUND BURGER,19.00,3.95,3.95,75.05,0.02%,Hot Food
1/2 POUNDER,1.00,2.65,2.65,2.65,0.00%,Hot Food
BATTERED BURGER,348.23,1.10,1.10,383.15,0.09%,Hot Food
BREADED CHICKEN,250.14,2.29,2.90,572.40,0.14%,Hot Food
BREADED SF CHICK GOUJON,446.00,0.70,0.80,312.20,0.07%,Hot Food
BREAKFAST SANDWICH/ROLL,627.34,3.96,4.30,2484.00,0.59%,Hot Food
BURGER,50.00,3.00,3.00,150.00,0.04%,Hot Food
CARVERY DINNER,229.30,5.00,5.50,1146.50,0.27%,Hot Food
CARVERY ROLL,179.19,3.99,3.99,714.95,0.17%,Hot Food
CDF HAM & CHEESE JAMBON,249.00,2.00,2.30,498.00,0.12%,Hot Food
CHICKEN DRUMSTICK,639.35,1.30,1.80,831.00,0.20%,Hot Food
CHICKEN FILLET SANDWICH,0.00,0.00,3.50,-89.52,-0.02%,Hot Food
CHICKEN TIGH,4.00,1.25,1.25,5.00,0.00%,Hot Food
COCKTAIL SAUSAGES,473.50,2.00,2.00,947.00,0.22%,Hot Food
COOKED CHICKEN,114.00,4.99,4.99,569.05,0.13%,Hot Food
COOKED PUDDING,128.00,0.35,0.40,44.80,0.01%,Hot Food
FRIED EGG,31.00,0.60,0.60,18.60,0.00%,Hot Food
GOUJON WRAP,3.00,3.50,3.50,10.50,0.00%,Hot Food
GOURMET SAUSAGE,326.16,1.25,1.00,407.70,0.10%,Hot Food
GRILLED CHICKEN FILLET,23.00,2.65,2.65,60.95,0.01%,Hot Food
HOT CHICKEN BAGUETTE,1694.00,3.50,3.80,5929.00,1.40%,Hot Food
JUMBO SAUSAGE ROLL,1631.00,1.00,1.20,1631.00,0.38%,Hot Food
LASAGNE,20.47,3.93,3.85,80.50,0.02%,Hot Food
PANINI,94.00,3.99,3.99,375.06,0.09%,Hot Food
PIER BBQ CAJ/CHICK WINGS 2X4KG,2018.71,0.45,2.70,908.00,0.21%,Hot Food
PIER HASH BROWNS 2.5KG,174.99,0.55,0.50,96.25,0.02%,Hot Food
PIER THICK CUT BACK BACO 18G,231.84,0.60,0.55,139.15,0.03%,Hot Food
,181.23,1.50,2.10,271.70,0.06%,Hot Food
PORK & LEAK SAUSAGE BAGUETTE,102.60,2.78,2.79,285.00,0.07%,Hot Food
PORK RIB BURGER,20.00,3.00,3.00,60.00,0.01%,Hot Food
PORK RIBSTAKE & BURGER,30.00,1.50,1.50,45.00,0.01%,Hot Food
POTATO TWISTERS,4.00,2.00,2.00,8.00,0.00%,Hot Food
PULLED PORK BAP,29.00,3.95,3.95,114.55,0.03%,Hot Food
RASHER & SAUSAGE S\WICH,734.00,2.99,3.29,2194.66,0.52%,Hot Food
SAUSAGE,1178.00,0.55,0.55,647.90,0.15%,Hot Food
SAUSAGE/RASHER SANDWICH,884.00,2.59,2.85,2289.56,0.54%,Hot Food
SAUSAGE/RASHER SANDWICH WITH,4134.31,3.89,3.89,16069.61,3.79%,Hot Food
SMALL SAUSAGE ROLL,76.75,0.40,0.50,30.70,0.01%,Hot Food
SNACK BOX,25.00,4.50,4.50,112.50,0.03%,Hot Food
SOUTHERN FRIED CHICKEN BREAST,1.00,2.65,2.65,2.65,0.00%,Hot Food
WEDGES,916.50,2.00,2.20,1833.00,0.43%,Hot Food
CDF APPLE LATTICE 80G,83.00,0.70,0.70,58.10,0.01%,Inshore Bakery
CDF APPLE STRUDEL 120G,1.00,1.00,1.50,1.00,0.00%,Inshore Bakery
CDF BAGUETTE TRIPLE GRAIN 170G,37.00,1.05,1.10,38.85,0.01%,Inshore Bakery
